NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
University Hills,5764.0,645.0,4444.0,158.0,24.0,165.0,0.0,11.0,317.0,8.77312856,77.53460115,4.86109184,0.63244794,3.0204873,0.0,0.13042447,5.04781873,2798.0,2966.0,300.0,191.0,228.0,47.0,491.0,278.0,654.0,1198.0,840.0,599.0,906.0,330.0,468.0,766.0,1362.0,13.46154996,27.05615327,42.25,38.15,49.6,5593,808,109,24,146,195,124,129,81,4785,3098.0,665.0,1415.0,689.0,180.0,149.0,4789.0,447.0,778.0,1161.0,2403.0,5464.0,4839.0,468.0,2984,2840,144,1680,1160,2840,1298,1008,290,178,112,1542,1202,340,90,123,182,77,134,75,80,108,117,230,213,406,328,210,282,185,63913,95620,45027,63913,95620,48666,53764,42856,33059,46294,35965,56113,68016,1962.0,126,155,116,15,144,204,431,1665,83,45,1490,1614,383750,5269,495,73,22,7,18,26,91,80,0,11,0,14,0,0,0,6,0,317,302,4,258,40,15,6.1,1.09126984
Harvey Park,13338.0,7199.0,5058.0,310.0,17.0,639.0,0.0,7.0,108.0,54.00539433,37.95212984,2.32397347,0.11771223,4.71702304,0.0,0.05721759,0.82654951,6377.0,6961.0,1120.0,935.0,925.0,508.0,2055.0,1711.0,1760.0,2485.0,1484.0,1540.0,1108.0,610.0,585.0,3488.0,1932.0,26.09505177,14.37865242,34.15,34.8,32.9,12622,3378,317,106,864,806,604,598,83,9244,6407.0,839.0,2407.0,2182.0,702.0,277.0,8658.0,1999.0,2319.0,1711.0,2629.0,12218.0,7613.0,3997.0,4543,4446,97,2894,1552,4446,2800,1816,984,280,704,1646,1035,611,203,110,259,190,131,177,275,211,107,273,818,695,349,201,163,284,66866,68164,26974,66866,68164,37843,43814,32176,25166,29070,40540,56140,33301,1956.5,31,5,23,8,36,768,319,3016,307,30,1034,1164,296350,10706,2632,176,8,11,0,157,514,89,0,425,0,0,0,0,0,0,0,1942,1915,80,1745,90,27,14.7,12.74778747
Mar Lee,14179.0,9017.0,3772.0,287.0,278.0,695.0,0.0,37.0,93.0,63.76659331,26.90626966,1.96291344,1.83493578,4.63490638,0.0,0.28057112,0.61381032,7119.0,7060.0,1089.0,1063.0,1105.0,580.0,2152.0,2186.0,2019.0,2565.0,1825.0,1412.0,1208.0,388.0,424.0,3837.0,1576.0,26.97719365,11.44023466,33.0,33.35,31.7,13381,3524,189,191,907,892,811,510,24,9857,6347.0,1007.0,1697.0,2476.0,717.0,450.0,8890.0,2491.0,2951.0,2054.0,1394.0,13090.0,6809.0,5568.0,4582,4462,120,2396,2066,4462,3047,2168,879,290,589,1415,1063,352,368,157,194,252,258,200,247,179,150,350,743,603,341,165,225,30,56567,62133,20766,56567,62133,34500,38642,28852,29486,35900,36636,32846,50258,979.0,0,0,0,133,67,724,351,2699,520,88,996,1105,259600,10207,3972,15,0,15,0,0,576,31,4,541,0,47,47,0,0,0,0,3334,3334,8,3326,0,0,14.1,9.61217109
Westwood,17707.0,14221.0,1968.0,724.0,170.0,566.0,0.0,0.0,58.0,80.11234921,11.06235719,4.21577979,0.95757821,3.27572936,0.0,0.0,0.37620625,8374.0,9333.0,1634.0,2131.0,1742.0,739.0,3765.0,3000.0,2442.0,2381.0,2453.0,1672.0,1199.0,406.0,389.0,6246.0,1560.0,35.32395577,8.84069157,28.7,30.5,27.6,16742,5545,395,404,1606,1317,1161,567,95,11197,6957.0,702.0,1732.0,3428.0,601.0,494.0,10151.0,3957.0,3317.0,1868.0,1009.0,16073.0,6067.0,9356.0,5382,5128,254,1856,3272,5128,3837,2290,1547,337,1210,1291,1031,260,495,405,353,411,325,301,302,250,212,529,338,582,330,121,110,64,40241,41349,16548,40241,41349,29764,35792,21186,25492,29462,34048,38334,5035,1955.0,60,47,276,140,113,645,346,2175,1229,351,984,1092,213000,12160,5547,0,0,0,0,0,420,11,87,322,0,136,47,7,0,1,0,4991,4968,77,4886,5,23,26.525,25.54339772
East Colfax,11040.0,2890.0,3783.0,3161.0,64.0,764.0,0.0,0.0,378.0,27.96126745,35.85879325,26.4967653,0.52636074,5.78825581,0.0,0.0,3.36855746,5709.0,5331.0,703.0,630.0,736.0,370.0,1333.0,1373.0,2247.0,2397.0,1513.0,1198.0,472.0,388.0,119.0,2439.0,1051.0,20.78710599,10.23137935,32.2,30.7,33.15,10550,3046,96,147,452,646,603,823,279,7504,5848.0,1071.0,2349.0,1495.0,555.0,378.0,7295.0,1067.0,1571.0,2204.0,2453.0,10337.0,6422.0,1817.0,4819,4442,377,1654,2788,4442,2222,1183,1039,284,755,2220,1522,698,303,323,131,124,335,137,250,257,181,535,409,671,310,173,222,81,55048,57779,30062,55048,57779,39422,41345,36724,27908,33709,36664,52296,63690,1960.5,72,34,339,161,239,965,445,1010,1152,402,1130,1220,297350,8391,2649,85,45,22,0,18,643,148,270,220,5,1138,807,68,0,154,5,778,766,0,636,130,12,18.0,14.78364621
Auraria,778.0,176.0,542.0,11.0,8.0,0.0,0.0,10.0,31.0,22.62210797,69.66580977,1.41388175,1.02827764,0.0,0.0,1.28534704,3.98457584,403.0,375.0,0.0,0.0,0.0,0.0,0.0,526.0,172.0,29.0,10.0,12.0,29.0,0.0,0.0,0.0,5.0,0.0,0.64267352,19.6,19.6,19.5,778,702,0,0,0,0,0,702,0,76,324.0,122.0,111.0,48.0,11.0,32.0,107.0,0.0,4.0,42.0,61.0,778.0,704.0,43.0,66,38,28,30,8,38,16,16,0,0,0,22,15,7,0,0,0,0,0,0,0,4,4,4,4,7,0,4,4,7,86875,0,9918,86875,0,37222,0,43750,0,0,0,71667,42188,0.0,0,0,4,0,0,0,0,7,0,55,0,0,500000,736,42,0,0,0,0,0,10,0,10,0,0,11,11,0,0,0,0,21,21,0,21,0,0,0.0,0.0
University Park,8156.0,973.0,6076.0,138.0,42.0,548.0,0.0,0.0,379.0,12.61747388,74.32876728,2.01375589,0.5733546,6.21015983,0.0,0.0,4.25648853,3840.0,4316.0,165.0,405.0,424.0,198.0,570.0,816.0,2161.0,1121.0,1112.0,897.0,701.0,461.0,317.0,1192.0,1395.0,13.24814833,16.86448555,34.9,35.85,33.65,8068,2692,73,102,363,304,237,1199,414,5376,3894.0,990.0,1886.0,634.0,233.0,151.0,5466.0,140.0,503.0,1113.0,3710.0,7991.0,6823.0,582.0,4220,3689,531,1660,2029,3689,1594,1330,264,42,222,2095,1407,688,374,171,58,76,218,153,143,128,135,248,278,346,150,204,330,677,73412,151610,60143,73412,151610,49510,68790,33422,0,23064,13286,61294,62040,1966.0,173,199,742,159,174,322,789,694,541,427,1255,1300,656950,7281,875,95,5,31,0,59,478,257,45,145,31,46,0,0,10,36,0,256,135,0,68,67,121,16.1,5.76358182
Platt Park,5874.0,480.0,5084.0,49.0,0.0,43.0,0.0,0.0,218.0,8.17160368,86.55090228,0.83418454,0.0,0.7320395,0.0,0.0,3.71127,2598.0,3276.0,518.0,267.0,135.0,148.0,785.0,313.0,1054.0,1281.0,624.0,742.0,876.0,149.0,50.0,1068.0,617.0,18.18181818,10.50391556,35.6,37.0,34.5,5531,1084,207,42,155,115,168,180,217,4447,3804.0,965.0,1717.0,890.0,132.0,100.0,4678.0,15.0,267.0,621.0,3775.0,5356.0,5040.0,152.0,2865,2719,146,1857,862,2719,1472,1274,198,76,122,1247,807,440,137,35,0,63,30,53,84,56,102,172,146,359,293,223,338,628,110243,175119,65131,110243,175119,61430,78341,51944,0,0,48393,56824,77297,0.0,109,61,289,30,68,25,88,160,198,1837,1547,1691,551400,5635,239,32,13,19,0,0,43,43,0,0,0,0,0,0,0,0,0,164,92,0,53,39,72,5.6,0.61141304
College View - South Platte,8879.0,6736.0,1217.0,305.0,17.0,587.0,0.0,1.0,16.0,75.86439914,13.70649848,3.43507152,0.191463,6.61110485,0.0,0.01126253,0.18020047,4791.0,4088.0,891.0,912.0,601.0,426.0,1803.0,1481.0,1542.0,1177.0,1254.0,825.0,527.0,201.0,69.0,2830.0,593.0,31.87295867,6.67868003,26.8,27.5,26.1,8395,2141,133,171,699,346,512,231,49,6254,3521.0,446.0,714.0,1821.0,172.0,368.0,4779.0,1790.0,1684.0,910.0,395.0,7988.0,3412.0,4068.0,2544,2349,195,996,1353,2349,1789,1075,714,249,465,560,432,128,257,175,66,75,101,161,94,105,53,338,169,383,185,112,45,30,51182,52274,16715,51182,52274,30744,33918,28391,30464,28548,32188,49184,24871,1973.0,0,10,254,132,333,766,300,339,308,102,858,939,253900,6216,2663,60,12,0,0,48,520,63,1,456,0,0,0,0,0,0,0,2083,2083,0,2083,0,0,28.5,23.25321409
Overland,3032.0,742.0,2093.0,41.0,0.0,54.0,0.0,0.0,102.0,24.47229551,69.03034301,1.35224274,0.0,1.78100264,0.0,0.0,3.3641161,1668.0,1364.0,51.0,124.0,88.0,34.0,175.0,134.0,793.0,835.0,393.0,297.0,253.0,107.0,45.0,297.0,251.0,9.79551451,8.27836412,33.2,35.7,32.1,3008,439,17,9,76,45,36,169,87,2569,1885.0,288.0,761.0,670.0,129.0,37.0,2538.0,290.0,337.0,738.0,1173.0,2981.0,2267.0,606.0,1713,1590,123,554,1036,1590,486,372,114,26,88,1104,669,435,128,14,40,49,147,73,57,53,35,133,219,242,159,133,70,38,62463,63750,40258,62463,63750,45477,47586,40000,5101,27472,31393,59023,63500,1971.0,73,233,359,95,0,104,28,223,149,449,1464,1592,287500,2549,483,18,18,0,0,0,57,0,8,49,0,57,57,0,0,0,8,343,343,0,290,53,0,13.7,7.20164609
Ruby Hill,11144.0,6699.0,2712.0,469.0,20.0,922.0,5.0,0.0,317.0,59.24429931,24.25608309,4.52362015,0.21083702,8.67650838,0.05270926,0.0,3.03594279,5806.0,5338.0,552.0,772.0,1169.0,368.0,1324.0,1736.0,1508.0,2069.0,1404.0,1256.0,898.0,641.0,308.0,2861.0,1895.0,25.66025404,16.37518391,33.85,33.2,34.15,10843,2657,82,172,536,976,546,232,113,8186,5118.0,812.0,1797.0,1487.0,555.0,467.0,7399.0,2234.0,2621.0,1348.0,1196.0,10592.0,5533.0,4059.0,3990,3917,73,1968,1949,3917,2256,1511,745,297,448,1661,1281,380,515,187,271,189,113,237,205,198,190,407,230,506,361,131,66,111,46042,54304,23990,46042,54304,33454,35203,28444,24982,31048,39191,45004,0,1958.0,11,0,70,33,154,731,523,2104,249,115,798,895,271700,7938,3206,26,0,0,0,26,798,27,0,771,0,144,63,0,0,42,0,2238,2238,152,2038,48,0,13.45,8.57489554
Kennedy,5228.0,1871.0,1811.0,849.0,0.0,617.0,0.0,0.0,80.0,35.78806427,34.64039786,16.23947972,0.0,11.80183627,0.0,0.0,1.53022188,2676.0,2552.0,461.0,270.0,166.0,136.0,731.0,468.0,1158.0,1337.0,912.0,354.0,266.0,2.0,0.0,1033.0,75.0,19.75899005,1.43458302,31.6,32.3,30.7,5042,1068,39,108,209,119,231,215,147,3974,3256.0,441.0,1305.0,903.0,455.0,152.0,3437.0,813.0,595.0,998.0,1031.0,4767.0,2344.0,1281.0,2701,2500,201,0,2500,2500,1024,759,265,173,92,1476,1146,330,39,99,146,107,283,170,189,85,182,375,388,195,85,51,106,0,48941,53619,27137,48941,53619,33298,34056,31731,25259,37167,33801,35192,56007,1978.0,57,127,369,153,335,1370,223,67,0,0,1140,1217,0,3143,2085,17,0,0,0,17,639,115,353,3,168,394,249,95,0,36,0,1035,1035,0,676,359,0,11.8,5.95703125
Hampden,20182.0,3019.0,12738.0,2987.0,4.0,896.0,32.0,28.0,478.0,14.93000853,63.14761677,15.06085729,0.02441406,4.12486484,0.1856317,0.10774203,2.41886477,9753.0,10429.0,912.0,1188.0,962.0,594.0,2100.0,1647.0,3736.0,3247.0,2257.0,2375.0,2410.0,1607.0,803.0,3656.0,4443.0,17.39287599,22.07335345,38.45,37.175,39.55,19464,4319,199,241,984,888,580,811,616,15145,10635.0,1554.0,5146.0,2720.0,676.0,539.0,15228.0,922.0,2548.0,4340.0,7418.0,19270.0,15571.0,1719.0,10510,9821,689,4486,5335,9821,4491,3021,1470,377,1093,5330,4277,1053,580,367,433,424,512,577,364,342,406,1058,942,1256,810,554,663,533,60789,78028,41002,60789,78028,42362,45829,41468,0,37516,39638,45547,55296,1975.5,131,448,118,371,1688,5694,1772,141,32,115,1250,1314,321550,17113,3069,339,8,46,10,275,1096,402,306,155,233,657,94,87,95,341,19,958,909,91,785,33,49,12.875,9.12806677
Baker,6568.0,1567.0,4286.0,262.0,87.0,155.0,0.0,0.0,211.0,23.85809988,65.25578563,3.98903776,1.32460414,2.35992692,0.0,0.0,3.21254568,3797.0,2771.0,181.0,109.0,31.0,29.0,290.0,208.0,1807.0,1616.0,752.0,654.0,739.0,290.0,212.0,350.0,895.0,5.32886724,13.62667479,34.7,34.7,34.8,6424,619,67,28,51,31,74,200,168,5805,3951.0,593.0,1881.0,982.0,254.0,241.0,5470.0,537.0,536.0,889.0,3508.0,6387.0,5277.0,866.0,3294,3116,178,1286,1830,3116,1005,849,156,45,111,2111,1303,808,224,158,63,44,109,87,101,65,85,200,378,360,385,214,342,301,75973,103516,51135,75973,103516,58305,60326,57271,40194,38709,40492,58958,70619,0.0,289,214,202,0,68,98,271,138,187,1827,1319,1383,434300,5954,614,145,19,33,0,93,28,0,28,0,0,0,0,0,0,0,0,441,441,0,441,0,0,11.0,5.97014925
Fort Logan,9225.0,2518.0,6073.0,153.0,75.0,283.0,10.0,3.0,110.0,27.18336012,66.20309088,1.76743811,0.81455142,2.61245168,0.16860563,0.0199005,1.23060165,4454.0,4771.0,554.0,629.0,459.0,246.0,1183.0,882.0,1254.0,1095.0,972.0,1388.0,1161.0,651.0,639.0,1888.0,2249.0,19.35990798,24.83316617,43.33333333,42.2,45.23333333,8887,2133,170,190,487,306,364,463,153,6754,3955.0,942.0,1190.0,1102.0,436.0,285.0,6683.0,700.0,1606.0,2162.0,2215.0,8671.0,7556.0,853.0,3427,3316,111,2449,867,3316,2354,1655,699,214,485,962,818,144,199,90,128,121,64,136,66,93,175,131,269,575,380,308,294,287,80875,89992,38362,80875,89992,44729,53980,40493,7319,36701,42302,56668,80634,1975.0,4,79,104,388,292,1368,808,335,11,38,1160,1273,392800,8767,458,87,9,15,0,63,159,45,55,59,0,1,0,0,0,0,0,211,183,0,144,39,28,10.73333333,6.39585303
Bear Valley,8725.0,2883.0,4692.0,622.0,40.0,457.0,0.0,0.0,31.0,30.83701301,57.05075142,4.99277573,0.32107883,6.17738743,0.0,0.0,0.62099359,4184.0,4541.0,494.0,484.0,292.0,270.0,978.0,648.0,1509.0,1540.0,1130.0,1072.0,753.0,591.0,504.0,1540.0,1983.0,16.77940444,24.53713066,41.4,42.75,39.35,8389,1443,72,89,356,208,418,262,38,6946,4439.0,760.0,1589.0,1133.0,706.0,251.0,6648.0,628.0,1673.0,1756.0,2591.0,8231.0,6381.0,1493.0,3929,3761,168,2282,1479,3761,2080,1343,737,391,346,1681,1254,427,127,49,238,45,63,362,391,263,105,178,346,438,533,266,259,98,67070,86170,35964,67070,86170,45460,52090,37918,25711,34238,42026,47842,66750,1972.5,5,25,386,83,288,1654,1292,128,20,48,1255,1378,325550,7380,1345,55,27,28,0,0,423,62,73,288,0,0,0,0,0,0,0,867,862,8,837,17,5,6.5,4.25864538
Harvey Park South,9638.0,4732.0,3626.0,348.0,20.0,599.0,278.0,0.0,35.0,48.96195042,37.98524046,2.89469306,0.2538403,5.68236104,3.83236835,0.0,0.38954638,4886.0,4752.0,964.0,407.0,537.0,463.0,1371.0,1243.0,1372.0,1365.0,1030.0,1278.0,1101.0,515.0,363.0,2371.0,1698.0,24.95995876,17.95129571,34.95,32.35,38.75,9212,2324,325,110,280,434,621,405,149,6888,4187.0,892.0,1475.0,1182.0,459.0,179.0,6224.0,1367.0,1432.0,1773.0,1652.0,8674.0,6069.0,1910.0,3494,3459,35,1989,1470,3459,2048,1435,613,167,446,1411,1073,338,297,219,207,80,108,96,145,157,128,242,394,419,423,240,245,59,68324,81608,29341,68324,81608,42132,50372,35668,19680,28912,51700,47273,69438,1961.0,0,16,56,174,183,798,252,1853,7,155,1249,1282,315850,8295,1343,75,0,34,0,41,291,26,53,212,0,0,0,0,0,0,27,950,938,59,745,134,12,12.1,9.94551859
Southmoor Park,6045.0,318.0,5041.0,301.0,0.0,254.0,0.0,0.0,131.0,5.80966547,84.50400389,4.22953151,0.0,3.52164721,0.0,0.0,1.93515192,3164.0,2881.0,238.0,158.0,182.0,101.0,396.0,325.0,1988.0,1267.0,614.0,595.0,403.0,272.0,185.0,679.0,873.0,13.53128274,17.79495959,37.05,36.55,39.1,5863,1153,59,0,146,152,146,401,249,4710,3970.0,909.0,1921.0,834.0,235.0,71.0,4718.0,61.0,283.0,1061.0,3313.0,5807.0,5194.0,138.0,3606,3350,256,857,2493,3350,1183,883,300,198,102,2167,1554,613,158,48,65,77,106,115,101,112,101,284,338,569,491,292,172,321,81774,112742,59748,81774,112742,55391,57550,51558,0,44192,44330,59136,84893,1984.0,424,346,1051,720,123,198,429,291,10,14,1570,1688,509950,5261,784,186,5,71,0,110,282,29,147,10,96,71,0,0,13,21,8,237,220,134,14,72,17,8.0,5.76204638
Hampden South,16804.0,1847.0,12358.0,1336.0,30.0,784.0,0.0,36.0,413.0,10.50216072,74.12991193,7.72648022,0.16232338,5.24579318,0.0,0.15384615,2.05941554,8569.0,8235.0,732.0,901.0,651.0,306.0,1633.0,1154.0,2906.0,2943.0,2570.0,1786.0,1828.0,1182.0,802.0,2590.0,3916.0,14.21761152,23.92455902,39.33333333,38.1,42.46666667,16403,3136,139,299,603,586,373,889,247,13267,9161.0,2144.0,4062.0,2222.0,519.0,214.0,13066.0,530.0,1863.0,3161.0,7512.0,16072.0,14051.0,624.0,8523,8006,517,4309,3697,8006,4080,3085,995,334,661,3926,3074,852,200,186,313,181,231,350,314,434,368,478,1035,1024,1021,451,725,695,76200,105263,48779,76200,105263,51652,60755,41949,9167,35347,45448,60280,62145,1981.33333333,620,91,595,899,1173,3027,1762,190,86,80,1430,1516,408667,15187,1617,334,78,101,0,155,856,127,423,86,220,68,47,0,9,0,0,359,322,16,222,84,37,5.23333333,2.45821201
Goldsmith,5827.0,1156.0,3911.0,479.0,38.0,110.0,0.0,5.0,128.0,19.838682,67.11858589,8.22035353,0.65213661,1.88776386,0.0,0.08580745,2.19667067,2962.0,2865.0,410.0,296.0,267.0,74.0,706.0,373.0,1120.0,848.0,812.0,671.0,597.0,273.0,427.0,1047.0,1182.0,17.96807963,20.28488073,38.1,33.5,39.3,5630,1075,97,56,194,268,106,269,85,4555,3018.0,353.0,1582.0,690.0,181.0,212.0,4328.0,364.0,1015.0,1173.0,1776.0,5417.0,4216.0,745.0,2990,2729,261,856,1873,2729,1183,889,294,171,123,1546,1266,280,294,58,64,161,140,163,145,147,88,451,144,214,280,92,205,83,51451,85822,32591,51451,85822,35239,40709,30962,35729,30162,26152,44255,64077,1973.0,0,0,56,148,197,1597,836,71,12,73,1048,1130,431500,4852,975,73,42,0,14,17,162,19,85,2,56,232,66,0,0,106,0,508,494,0,460,34,14,14.4,12.08791209
Cory - Merrill,4502.0,307.0,3869.0,17.0,4.0,213.0,0.0,0.0,92.0,6.81919147,85.93958241,0.37760995,0.0888494,4.73123056,0.0,0.0,2.04353621,2378.0,2124.0,391.0,286.0,228.0,134.0,677.0,423.0,318.0,1055.0,558.0,418.0,646.0,254.0,153.0,1039.0,778.0,23.07863172,17.28120835,38.2,37.2,39.7,4267,1073,184,63,271,128,174,152,101,3194,1987.0,659.0,737.0,436.0,95.0,60.0,3290.0,47.0,324.0,509.0,2410.0,4111.0,3737.0,121.0,1934,1826,108,1518,308,1826,1113,938,175,47,128,713,544,169,35,0,0,38,40,54,14,37,23,111,147,218,204,119,254,532,124636,175125,76335,124636,175125,72475,83313,64891,9010,50625,71750,77813,83594,1952.0,112,10,269,44,165,49,58,342,553,332,1669,1750,640700,4278,224,46,0,35,0,11,129,19,79,31,0,15,0,0,15,0,0,34,24,0,21,3,10,6.6,1.43755616
Windsor,14477.0,2873.0,7282.0,2889.0,0.0,769.0,0.0,14.0,650.0,20.68240942,49.00864124,20.14705614,0.0,5.4448743,0.0,0.1070091,4.6100098,6789.0,7688.0,771.0,671.0,475.0,271.0,1442.0,773.0,2183.0,1864.0,2181.0,1227.0,1844.0,1633.0,1330.0,2188.0,5344.0,15.68477391,35.17155298,45.36666667,42.96666667,47.73333333,13920,2198,112,164,514,391,316,507,194,11722,6329.0,838.0,2547.0,1878.0,623.0,443.0,11334.0,956.0,2665.0,3066.0,4647.0,13706.0,9653.0,1797.0,8768,8151,617,3783,4368,8151,2745,1789,956,301,655,5406,4651,755,499,390,594,566,673,646,440,482,349,749,598,1041,611,136,217,160,46105,55465,32691,46105,55465,35501,38183,29603,15669,29471,36254,41912,55206,1977.33333333,16,145,270,1180,1736,2685,1907,703,57,69,1105,1206,256500,10941,3536,371,57,154,26,134,848,40,509,100,199,1199,715,72,18,248,9,1109,1064,62,790,212,45,12.23333333,10.08753892
Belcaro,4204.0,211.0,3669.0,139.0,0.0,88.0,0.0,36.0,61.0,5.0190295,87.27402474,3.30637488,0.0,2.09324453,0.0,0.85632731,1.45099905,2075.0,2129.0,209.0,201.0,130.0,102.0,410.0,232.0,475.0,717.0,409.0,375.0,630.0,639.0,317.0,642.0,1933.0,15.27117031,45.98001903,46.7,46.7,46.8,4041,644,74,73,100,130,102,102,63,3397,1918.0,689.0,1020.0,165.0,18.0,26.0,3369.0,17.0,175.0,513.0,2664.0,3995.0,3656.0,52.0,2618,2197,421,1745,452,2197,1172,977,195,101,94,1025,887,138,76,27,90,75,29,13,0,78,17,72,138,233,193,162,302,692,133583,167647,97797,133583,167647,84076,105452,71523,0,0,0,93846,114485,1966.0,132,16,593,239,68,82,425,338,276,449,1704,1799,840100,3847,357,171,0,90,0,81,146,22,98,26,0,0,0,0,0,0,0,40,40,40,0,0,0,3.3,0.85324232
Washington Park,7514.0,457.0,6725.0,53.0,46.0,120.0,6.0,11.0,96.0,6.20408781,89.66223474,0.67343558,0.51621384,1.43993514,0.11286682,0.2069225,1.18430358,3659.0,3855.0,353.0,420.0,412.0,216.0,773.0,701.0,686.0,1042.0,1440.0,921.0,1182.0,621.0,148.0,1401.0,1773.0,17.15012371,27.07688734,44.45,44.8,43.9,7314,1519,143,123,343,280,289,138,203,5795,3654.0,879.0,1551.0,875.0,153.0,196.0,5915.0,138.0,360.0,704.0,4713.0,7161.0,6828.0,168.0,3621,3346,275,2758,588,3346,2036,1793,243,94,149,1310,1058,252,52,45,42,98,58,29,48,57,54,190,151,378,276,268,482,1118,141767,170396,93724,141767,170396,72824,90848,52841,0,35140,10721,66274,108751,985.5,92,124,264,156,79,522,268,178,202,1736,2027,2267,719850,7116,398,202,87,40,18,57,78,17,15,46,0,15,0,0,0,15,0,103,59,7,28,24,44,3.95,2.25335264
Washington Park West,7798.0,578.0,6557.0,81.0,0.0,239.0,0.0,29.0,314.0,7.50726423,83.87244748,1.05457485,0.0,3.15936307,0.0,0.34206181,4.06428857,4156.0,3642.0,460.0,369.0,226.0,55.0,829.0,293.0,1554.0,2080.0,1236.0,816.0,667.0,239.0,84.0,1110.0,867.0,14.01445561,10.84622374,35.15,35.1,35.15,7565,1351,187,91,217,205,76,278,297,6214,4634.0,829.0,2123.0,1219.0,281.0,182.0,6277.0,86.0,434.0,865.0,4892.0,7338.0,6720.0,308.0,3985,3775,210,2037,1738,3775,1608,1344,264,109,155,2167,1327,840,117,66,47,88,67,142,48,160,79,220,287,465,455,228,548,758,103261,141033,65374,103261,141033,65013,72850,60044,0,31502,46832,64029,82156,0.0,250,76,189,69,23,87,175,343,204,2569,1446,1598,581400,7282,516,101,61,5,21,14,217,57,83,69,8,12,12,0,0,0,38,148,148,0,124,24,0,6.75,5.00893176
